End use [GW]	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	5.308816	5.232023	5.375537	5.330574	5.147678	4.909057	4.892013	4.954840	5.500347	5.713068	5.733446	5.544596	
HEAT_HIGH_T	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	
HEAT_LOW_T_DHN	6.062400	6.007828	4.534386	1.203317	0.255948	0.255948	0.255948	0.255948	0.887527	3.006373	4.677001	6.979208	
HEAT_LOW_T_DECEN	13.438319	13.317352	10.051223	2.667352	0.567352	0.567352	0.567352	0.567352	1.967352	6.664126	10.367352	15.470577	

Mobility [Mpkm/h] or [Mtkm/h]
MOB_PUBLIC	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	
MOB_PRIVATE	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	
MOB_FREIGHT_RAIL	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	
MOB_FREIGHT_ROAD	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	
