Technology	Installed capacity [GW]
NUCLEAR	10.000000
CCGT_CCS	3.704642
PV	15.000000
WIND	5.300000
HYDRO_DAM_EXISTING	8.080000
HYDRO_DAM	0.440000
HYDRO_RIVER_EXISTING	3.800000
HYDRO_RIVER	0.850000
GEOTHERMAL_ELEC	0.700000
IND_BOILER_GAS	1.013817
IND_BOILER_OIL	0.803266
IND_HEATER_ELEC	0.814178
DHN_HP_ELEC	1.931336
DHN_BOILER_GAS	9.685388
DHN_GEOTHERMAL	2.341691
DEC_HP_ELEC	11.089081
DEC_BOILER_GAS	4.435632
DEC_BOILER_OIL	2.217816
THERMAL_SOLAR	10.000000
DEC_HEATER_ELEC	1.901430
P2G_INVESTMENT	15.465523
H2_ELECTROLYSIS	1.165445
H2_FROM_GAS	20.000000
H2_FROM_BIOMASS	20.000000
GASIFICATION_SNG	20.000000
PYROLYSIS	20.000000

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000
P2G_STORAGE	12197.068113

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.712329
CAR_DIESEL	1.712329
CAR_PHEV	0.856164
CAR_BEV	2.568493
CAR_FC	1.712329
BUS_DIESEL	0.226619
BUS_NG	0.344157
BUS_FC	1.141553
TRAIN_PUBLIC	3.995434
TRAIN_FREIGHT	1.598174
TRUCK_FREIGHT_FC	2.397260
