Technology	GWP_construction [ktCO2-eq/y]
NUCLEAR	176.975000
CCGT_CCS	27.236528
PV	524.400000
WIND	165.055250
HYDRO_DAM_EXISTING	0.000000
HYDRO_DAM	18.623000
HYDRO_RIVER_EXISTING	0.000000
HYDRO_RIVER	26.838750
GEOTHERMAL_ELEC	115.010000
IND_BOILER_GAS	0.733526
IND_BOILER_OIL	0.581187
IND_HEATER_ELEC	0.081418
DHN_HP_ELEC	13.503901
DHN_BOILER_GAS	7.007663
DHN_GEOTHERMAL	63.131997
DEC_HP_ELEC	101.588305
DEC_BOILER_GAS	5.505403
DEC_BOILER_OIL	2.752701
THERMAL_SOLAR	110.600000
DEC_HEATER_ELEC	0.190143
H2_ELECTROLYSIS	0.024474
PYROLYSIS	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.000000
P2G_STORAGE	0.487883

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	2730.000000
DIESEL	0.000000
OIL	610.908541
NG_CCS	1303.380113
WOOD	147.348000
URANIUM	803.221920
